query_sample	query_sample_basename	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI603146	2	25761.28	1.2483054707564083	2.125022	20637	18881	0.9149101129040074	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI522195	3	32701.96	1.5846276106023163	2.074326	20637	18180	0.8809419973833406	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI522206	4	37177.26	1.8014856810582935	2.073375	20637	17728	0.8590395890875612	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI522230A	5	37206.97	1.8029253282938411	2.100515	20637	17725	0.8588942191209963	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI522210	6	39098.77	1.8945956292096717	2.050509	20637	17534	0.8496389979163638	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI447003B	7	40424.83	1.9588520618306926	2.053713	20637	17400	0.8431458060764646	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI578346C	8	40523.84	1.9636497552938894	2.05418	20637	17390	0.8426612395212483	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI578341	9	40612.95	1.9679677278674224	2.051777	20637	17381	0.8422251296215535	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/PI507847-asm20.sorted.bam	PI507847-asm20.sorted.bam	PI522209B	10	40969.39	1.9852396181615544	2.046542	20637	17345	0.8404806900227746	vcf-50k-asm20-Xcss/Wm82a6_hifi-PI507847-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI548402	1	9041.465	0.4653592567811004	2.000511	19429	19312	0.9939780740130733	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	Peking	2	9051.366	0.46586885583406246	2.000484	19429	19311	0.9939266045601935	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI84751	3	9536.521	0.4908395182459211	1.997097	19429	19262	0.9914046013690875	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI339868B	4	9774.147	0.5030699984559165	1.994728	19429	19238	0.9901693344999742	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI548402S	5	11091.0	0.570847701888929	1.987128	19429	19105	0.983323897266972	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI556949	6	14091.03	0.725257604611663	1.979783	19429	18802	0.9677286530444181	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI438497	7	24636.41	1.2680225436203614	1.935601	19429	17737	0.9129136857275207	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI404167	8	24873.81	1.2802413917340059	1.931686	19429	17713	0.9116784188584075	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI404166	9	24893.61	1.2812604869010242	1.931728	19429	17711	0.9115754799526481	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Pekingv3-asm20.sorted.bam	Pekingv3-asm20.sorted.bam	PI548205	10	28378.8	1.4606413093828812	1.943152	19429	17359	0.8934582325389882	vcf-50k-asm20-Xcss/Wm82a6_hifi-Pekingv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI86046	1	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI90208	2	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI219698	3	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI253651A	4	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI347550A	5	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI398807	6	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI408055A	7	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI408069	8	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI408169A	9	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82a6-asm20.sorted.bam	Wm82a6-asm20.sorted.bam	PI408169B	10	0.0		0.0	0	0		vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82a6-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI639550D	1	28.66796	4.095422857142857	1.832213	7	4	0.5714285714285714	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI597452C	2	28.66796	4.095422857142857	1.747472	7	4	0.5714285714285714	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI653904A	3	28.66796	4.095422857142857	1.747472	7	4	0.5714285714285714	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI653916B	4	29.35874	4.1941057142857145	0.9404917	7	4	0.5714285714285714	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI562564	5	29.35874	4.1941057142857145	0.6205034	7	4	0.5714285714285714	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI567264A	6	29.35874	4.1941057142857145	0.5953871	7	3	0.42857142857142855	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI189900	7	30.74029	4.39147	0.9129286	7	3	0.42857142857142855	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI574482	8	28.66788	4.77798	2.098011	6	3	0.5	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI574485	9	28.66788	4.77798	2.098011	6	3	0.5	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Wm82v4-asm20.sorted.bam	Wm82v4-asm20.sorted.bam	PI653917	10	29.35866	4.89311	0.482399	6	3	0.5	vcf-50k-asm20-Xcss/Wm82a6_hifi-Wm82v4-asm20-asm20-Xcss.gtcheck.tsv
