query_sample	query_sample_basename	genotyped_sample	rank	discordance	discordance_per_site	avg_neg_log_hwe	sites_compared	matching_genotypes	match_fraction	source_file
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI548230	4	6222.355	0.44891097323425433	1.198567	13861	13801	0.9956713079864368	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547678	5	6380.773	0.4603400187576654	1.197776	13861	13785	0.9945169901161532	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547760	6	6390.674	0.46105432508477023	1.199058	13861	13784	0.9944448452492605	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547708	7	6450.081	0.4653402351922661	1.198689	13861	13778	0.9940119760479041	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547718	8	6479.784	0.46748315417358055	1.200948	13861	13775	0.993795541447226	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547713	9	6519.389	0.4703404516268668	1.198035	13861	13771	0.9935069619796552	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Harosoy-asm20.sorted.bam	Harosoy-asm20.sorted.bam	PI547735	10	6529.29	0.47105475795397156	1.198287	13861	13770	0.9934348171127624	vcf-50k-asm20-Xcss/Wm82a6_hifi-Harosoy-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI540556	1	13443.14	1.5091086663673101	1.433154	8908	7915	0.8885271665918276	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI548526	2	15601.58	1.751412213740458	1.334834	8908	7697	0.8640547822182308	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI634879	3	21809.58	2.448313875168388	1.265419	8908	7070	0.7936686124831612	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	IA1008	4	21853.45	2.482218309859155	1.323203	8804	6948	0.7891867333030441	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI634878	5	22265.03	2.4994420745397394	1.245142	8908	7024	0.7885047148630444	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI548540	6	22354.14	2.509445442299057	1.246346	8908	7015	0.7874943870678042	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI518669	7	22393.75	2.513892007184553	1.247224	8908	7011	0.7870453524921419	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI547829	8	22463.06	2.5216726537943424	1.266337	8908	7004	0.7862595419847328	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI547826	9	22552.17	2.5316760215536593	1.249773	8908	6995	0.7852492141894926	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Jackv3-asm20.sorted.bam	Jackv3-asm20.sorted.bam	PI547823	10	22710.58	2.549458913336327	1.249424	8908	6979	0.7834530758868433	vcf-50k-asm20-Xcss/Wm82a6_hifi-Jackv3-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI548359	1	7441.524	0.42493855641845596	1.903766	17512	17478	0.9980584741891274	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	King	2	7500.931	0.4283309159433531	1.903701	17512	17472	0.9977158519872088	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	FC31630	3	9807.891	0.5600668684330744	1.888449	17512	17239	0.9844106898126999	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI548431	4	18570.38	1.0604374143444495	1.858805	17512	16354	0.933873915029694	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI438503C	5	23837.77	1.3612248743718594	1.86235	17512	15822	0.9034947464595706	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI639579B	6	24120.92	1.400018573335655	1.845055	17229	15336	0.890127111265889	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI438490A	7	30857.66	1.7620865692096848	1.857972	17512	15113	0.8630082229328461	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
04b_bams-asm20/Kingawa-asm20.sorted.bam	Kingawa-asm20.sorted.bam	PI548430	8	33589.91	1.9181081544084058	1.819633	17512	14837	0.8472476016445866	vcf-50k-asm20-Xcss/Wm82a6_hifi-Kingawa-asm20-asm20-Xcss.gtcheck.tsv
