# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/PI407020.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/PI407020.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000410 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	22009
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	PI407020	PI86046	15908	1.002595e+00	40395	24487
DCv2	PI407020	PI90208	15205	6.187288e-01	40395	25190
DCv2	PI407020	PI219698	15494	8.847955e-01	40395	24901
DCv2	PI407020	PI253651A	15562	7.571226e-01	40395	24833
DCv2	PI407020	PI347550A	16304	7.206240e-01	40395	24091
DCv2	PI407020	PI398807	15385	6.136211e-01	40395	25010
DCv2	PI407020	PI408055A	15347	6.116535e-01	40395	25048
DCv2	PI407020	PI408069	15299	6.085350e-01	40395	25096
DCv2	PI407020	PI408169A	15214	6.621351e-01	40395	25181
DCv2	PI407020	PI408169B	15102	6.556357e-01	40395	25293
DCv2	PI407020	PI416923	14894	6.327877e-01	40395	25501
DCv2	PI407020	PI417472A	14706	6.647998e-01	40395	25689
DCv2	PI407020	PI417508	16530	7.668626e-01	40395	23865
DCv2	PI407020	PI417521	16389	6.938273e-01	40395	24006
DCv2	PI407020	PI423734	15289	6.095939e-01	40395	25106
DCv2	PI407020	PI423923	15037	6.484406e-01	40395	25358
DCv2	PI407020	PI424145	15179	6.280895e-01	40395	25216
DCv2	PI407020	PI424159A	15409	6.282301e-01	40395	24986
DCv2	PI407020	PI424241	15243	6.032335e-01	40395	25152
DCv2	PI407020	PI424485	15134	6.184520e-01	40395	25261
DCv2	PI407020	PI424549B	15219	6.287772e-01	40395	25176
DCv2	PI407020	PI437196	15931	6.391769e-01	40395	24464
DCv2	PI407020	PI437199	16931	8.362583e-01	40395	23464
DCv2	PI407020	PI437619	15942	6.595269e-01	40395	24453
DCv2	PI407020	PI437633A	16760	7.808738e-01	40395	23635
DCv2	PI407020	PI437649B	16758	6.924034e-01	40395	23637
DCv2	PI407020	PI437749	15903	6.755105e-01	40395	24492
DCv2	PI407020	PI437833	15656	6.338616e-01	40395	24739
DCv2	PI407020	PI437841	15826	6.571879e-01	40395	24569
DCv2	PI407020	PI438229	16348	6.643861e-01	40395	24047
DCv2	PI407020	PI438249B	15862	8.562879e-01	40395	24533
DCv2	PI407020	PI438250B	15440	8.132128e-01	40395	24955
DCv2	PI407020	PI438251	17419	7.608176e-01	40395	22976
DCv2	PI407020	PI438252A	15855	6.695654e-01	40395	24540
DCv2	PI407020	PI438252C	16106	6.989237e-01	40395	24289
DCv2	PI407020	PI438313	17008	8.338420e-01	40395	23387
DCv2	PI407020	PI445825	16378	7.051396e-01	40395	24017
DCv2	PI407020	PI458139	15427	6.153738e-01	40395	24968
DCv2	PI407020	PI458181	15076	6.130172e-01	40395	25319
DCv2	PI407020	PI506560	14639	6.560197e-01	40395	25756
DCv2	PI407020	PI506574	14564	6.731452e-01	40395	25831
DCv2	PI407020	PI506575A	14695	6.480503e-01	40395	25700
DCv2	PI407020	PI506711B	14707	6.683263e-01	40395	25688
DCv2	PI407020	PI506847	14652	6.491970e-01	40395	25743
DCv2	PI407020	PI506992	14865	6.419209e-01	40395	25530
