# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Jackv3.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Jackv3.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000205 seconds
INFO	sites-compared	8908
INFO	sites-skipped-no-match	64496
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	218
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	8908
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Jackv3	PI594871	3972	9.212262e-01	8908	4936
DCv2	Jackv3	PI605782B	3996	9.380775e-01	8908	4912
DCv2	Jackv3	PI605796	3857	9.318257e-01	8908	5051
DCv2	Jackv3	PI605844E	4277	8.844386e-01	8908	4631
DCv2	Jackv3	PI605885C	3981	8.790768e-01	8908	4927
DCv2	Jackv3	PI605886B	4084	8.808944e-01	8908	4824
DCv2	Jackv3	PI606393	3857	9.318010e-01	8908	5051
DCv2	Jackv3	PI606430	3855	9.372862e-01	8908	5053
DCv2	Jackv3	PI612713B	3878	1.049880e+00	8908	5030
DCv2	Jackv3	PI612726	4220	9.136558e-01	8908	4688
DCv2	Jackv3	PI612742	3633	1.032657e+00	8908	5275
DCv2	Jackv3	PI613559F	3795	9.233968e-01	8908	5113
DCv2	Jackv3	PI615467	3650	9.052866e-01	8908	5258
DCv2	Jackv3	PI615472	4096	9.564964e-01	8908	4812
DCv2	Jackv3	PI615481	3943	9.578598e-01	8908	4965
DCv2	Jackv3	PI632667	4110	8.899253e-01	8908	4798
DCv2	Jackv3	PI632944D	4095	8.893681e-01	8908	4813
DCv2	Jackv3	PI639528C	3698	1.093486e+00	8908	5210
DCv2	Jackv3	PI639546A	3656	1.157452e+00	8908	5252
DCv2	Jackv3	PI639558	3751	1.286802e+00	8908	5157
DCv2	Jackv3	PI639560B	3869	1.096249e+00	8908	5039
DCv2	Jackv3	PI639607	3620	1.275444e+00	8908	5288
DCv2	Jackv3	FC31676	4163	8.658045e-01	8908	4745
DCv2	Jackv3	PI69991	4198	1.191891e+00	8908	4710
DCv2	Jackv3	PI81023	2916	1.149037e+00	8908	5992
DCv2	Jackv3	PI84632S	4245	1.005123e+00	8908	4663
DCv2	Jackv3	PI85559	4027	8.195599e-01	8908	4881
DCv2	Jackv3	PI86002	3375	1.305200e+00	8908	5533
DCv2	Jackv3	PI86024	3798	8.771627e-01	8908	5110
DCv2	Jackv3	PI88312	4202	9.968063e-01	8908	4706
DCv2	Jackv3	PI91091	4409	9.773698e-01	8908	4499
DCv2	Jackv3	PI93217	4521	8.797515e-01	8908	4387
DCv2	Jackv3	PI157401	3400	1.091493e+00	8908	5508
DCv2	Jackv3	PI174852	3915	1.111207e+00	8908	4993
DCv2	Jackv3	PI184047	3163	1.183358e+00	8908	5745
DCv2	Jackv3	PI189941	3846	9.876143e-01	8908	5062
DCv2	Jackv3	PI196168	4193	8.114991e-01	8908	4715
DCv2	Jackv3	PI200462	3924	8.317579e-01	8908	4984
DCv2	Jackv3	PI229339	4061	8.023338e-01	8908	4847
DCv2	Jackv3	PI238108	3977	9.843948e-01	8908	4931
DCv2	Jackv3	PI241424	3719	9.036411e-01	8908	5189
DCv2	Jackv3	PI248404	4332	8.737195e-01	8908	4576
DCv2	Jackv3	PI274207	4330	8.043950e-01	8908	4578
DCv2	Jackv3	PI274582	4193	9.453294e-01	8908	4715
DCv2	Jackv3	PI306704B	4041	9.357813e-01	8908	4867
DCv2	Jackv3	PI307854	3473	1.169485e+00	8908	5435
DCv2	Jackv3	PI307865	3520	1.324914e+00	8908	5388
DCv2	Jackv3	PI307876A	3978	9.128490e-01	8908	4930
DCv2	Jackv3	PI307888B	3485	1.190700e+00	8908	5423
DCv2	Jackv3	PI307889C	3781	9.969772e-01	8908	5127
DCv2	Jackv3	PI317337	4130	8.147754e-01	8908	4778
DCv2	Jackv3	PI323560	4032	1.126700e+00	8908	4876
DCv2	Jackv3	PI355070S	4752	8.293082e-01	8908	4156
DCv2	Jackv3	PI361071B	3987	1.033652e+00	8908	4921
DCv2	Jackv3	PI361116	4229	9.748999e-01	8908	4679
DCv2	Jackv3	PI378687B	3920	1.120778e+00	8908	4988
DCv2	Jackv3	PI398202	4214	8.088865e-01	8908	4694
DCv2	Jackv3	PI398307	4203	8.450275e-01	8908	4705
DCv2	Jackv3	PI398399	4052	8.516535e-01	8908	4856
DCv2	Jackv3	PI398634	4038	8.444277e-01	8908	4870
DCv2	Jackv3	PI398723	3459	1.028440e+00	8908	5449
DCv2	Jackv3	PI398772	4278	7.680707e-01	8908	4630
DCv2	Jackv3	PI398985	3934	8.307844e-01	8908	4974
DCv2	Jackv3	PI399122	3908	8.883886e-01	8908	5000
DCv2	Jackv3	PI407099	4007	1.116313e+00	8908	4901
DCv2	Jackv3	PI407186	3871	1.171311e+00	8908	5037
DCv2	Jackv3	PI407191	3128	1.216780e+00	8908	5780
DCv2	Jackv3	PI407795B	4120	8.436180e-01	8908	4788
DCv2	Jackv3	PI407915	4245	8.310407e-01	8908	4663
DCv2	Jackv3	PI407916	4065	8.387992e-01	8908	4843
DCv2	Jackv3	PI407999-1	2940	1.121362e+00	8908	5968
DCv2	Jackv3	PI408095A	4264	8.072248e-01	8908	4644
DCv2	Jackv3	PI408304	3709	8.922453e-01	8908	5199
DCv2	Jackv3	PI415072	3996	1.192368e+00	8908	4912
DCv2	Jackv3	PI417072	3889	8.384070e-01	8908	5019
DCv2	Jackv3	PI417115	4118	8.659642e-01	8908	4790
DCv2	Jackv3	PI417128	3995	8.555893e-01	8908	4913
DCv2	Jackv3	PI417286	4044	8.075910e-01	8908	4864
DCv2	Jackv3	PI417472C	4029	8.229750e-01	8908	4879
DCv2	Jackv3	PI417502	3991	9.215764e-01	8908	4917
DCv2	Jackv3	PI423842	4086	8.553591e-01	8908	4822
DCv2	Jackv3	PI423982	4280	8.014328e-01	8908	4628
DCv2	Jackv3	PI423992	3630	1.243618e+00	8908	5278
DCv2	Jackv3	PI424028	2692	1.121461e+00	8908	6216
DCv2	Jackv3	PI424248	4112	7.937970e-01	8908	4796
DCv2	Jackv3	PI424249E	4057	8.058495e-01	8908	4851
DCv2	Jackv3	PI424324B	4342	8.444927e-01	8908	4566
