# This file was produced by bcftools (1.23.1+htslib-1.23.1), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t --keep-refs -o updated_gtcheck_fixploidy/Jackv3.soy50k.fixploidy.gtcheck.tsv -g panel/soy50k.biallelic.snps.vcf.gz updated_fixploidy/Jackv3.soy50k.fixploidy.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf/05c_vcfs_soy50k
#
INFO	Time required to process one record .. 0.000416 seconds
INFO	sites-compared	41374
INFO	sites-skipped-no-match	32248
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	0
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	41374
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Jackv3	PI594871	14135	6.889195e-01	40648	26513
DCv2	Jackv3	PI605782B	14470	6.673678e-01	40648	26178
DCv2	Jackv3	PI605796	13975	6.699991e-01	40648	26673
DCv2	Jackv3	PI605844E	14789	6.321387e-01	40648	25859
DCv2	Jackv3	PI605885C	13946	6.659736e-01	40648	26702
DCv2	Jackv3	PI605886B	14422	6.561228e-01	40648	26226
DCv2	Jackv3	PI606393	13972	6.703177e-01	40648	26676
DCv2	Jackv3	PI606430	14093	6.688876e-01	40648	26555
DCv2	Jackv3	PI612713B	13051	7.176298e-01	40648	27597
DCv2	Jackv3	PI612726	14476	6.563416e-01	40648	26172
DCv2	Jackv3	PI612742	13215	6.962945e-01	40648	27433
DCv2	Jackv3	PI613559F	13785	6.602717e-01	40648	26863
DCv2	Jackv3	PI615467	15806	6.162559e-01	40648	24842
DCv2	Jackv3	PI615472	14454	6.821184e-01	40648	26194
DCv2	Jackv3	PI615481	13988	6.706784e-01	40648	26660
DCv2	Jackv3	PI632667	14883	6.439080e-01	40648	25765
DCv2	Jackv3	PI632944D	15525	6.396344e-01	40648	25123
DCv2	Jackv3	PI639528C	14135	7.354372e-01	40648	26513
DCv2	Jackv3	PI639546A	13055	7.474017e-01	40648	27593
DCv2	Jackv3	PI639558	16309	8.728995e-01	40648	24339
DCv2	Jackv3	PI639560B	13024	7.180044e-01	40648	27624
DCv2	Jackv3	PI639607	19662	9.026826e-01	40648	20986
DCv2	Jackv3	FC31676	14832	6.307171e-01	40648	25816
DCv2	Jackv3	PI69991	13625	8.293086e-01	40648	27023
DCv2	Jackv3	PI81023	16010	6.555526e-01	40648	24638
DCv2	Jackv3	PI84632S	13577	7.378285e-01	40648	27071
DCv2	Jackv3	PI85559	13227	6.289877e-01	40648	27421
DCv2	Jackv3	PI86002	16737	8.840164e-01	40648	23911
DCv2	Jackv3	PI86024	14264	6.031459e-01	40648	26384
DCv2	Jackv3	PI88312	14127	7.108454e-01	40648	26521
DCv2	Jackv3	PI91091	14222	6.592074e-01	40648	26426
DCv2	Jackv3	PI93217	14063	6.396177e-01	40648	26585
DCv2	Jackv3	PI157401	15806	6.687892e-01	40648	24842
DCv2	Jackv3	PI174852	15129	7.353530e-01	40648	25519
DCv2	Jackv3	PI184047	15760	7.705203e-01	40648	24888
DCv2	Jackv3	PI189941	16155	6.530499e-01	40648	24493
DCv2	Jackv3	PI196168	13948	6.117030e-01	40648	26700
DCv2	Jackv3	PI200462	14737	5.817978e-01	40648	25911
DCv2	Jackv3	PI229339	14731	5.802268e-01	40648	25917
