# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/PI507847.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/PI507847.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000196 seconds
INFO	sites-compared	20637
INFO	sites-skipped-no-match	40658
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	408
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	20637
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	PI507847	PI86046	8516	1.671790e+00	20637	12121
DCv2	PI507847	PI90208	11859	9.146222e-01	20637	8778
DCv2	PI507847	PI219698	8285	1.487907e+00	20637	12352
DCv2	PI507847	PI253651A	10909	1.229294e+00	20637	9728
DCv2	PI507847	PI347550A	11173	1.161062e+00	20637	9464
DCv2	PI507847	PI398807	12187	9.019478e-01	20637	8450
DCv2	PI507847	PI408055A	12022	8.966235e-01	20637	8615
DCv2	PI507847	PI408069	11775	9.047870e-01	20637	8862
DCv2	PI507847	PI408169A	11500	1.016196e+00	20637	9137
DCv2	PI507847	PI408169B	11616	9.905041e-01	20637	9021
DCv2	PI507847	PI416923	11228	9.597463e-01	20637	9409
DCv2	PI507847	PI417472A	11360	1.000038e+00	20637	9277
DCv2	PI507847	PI417508	10416	1.250961e+00	20637	10221
DCv2	PI507847	PI417521	12306	1.069757e+00	20637	8331
DCv2	PI507847	PI423734	11756	8.969830e-01	20637	8881
DCv2	PI507847	PI423923	11451	9.900188e-01	20637	9186
DCv2	PI507847	PI424145	11477	9.479910e-01	20637	9160
DCv2	PI507847	PI424159A	12268	9.278579e-01	20637	8369
DCv2	PI507847	PI424241	11756	8.903484e-01	20637	8881
DCv2	PI507847	PI424485	11935	9.054988e-01	20637	8702
DCv2	PI507847	PI424549B	11649	9.509071e-01	20637	8988
DCv2	PI507847	PI437196	11709	9.943667e-01	20637	8928
DCv2	PI507847	PI437199	10337	1.385203e+00	20637	10300
DCv2	PI507847	PI437619	12390	9.837551e-01	20637	8247
DCv2	PI507847	PI437633A	10017	1.293379e+00	20637	10620
DCv2	PI507847	PI437649B	11655	1.112680e+00	20637	8982
DCv2	PI507847	PI437749	11582	1.071289e+00	20637	9055
DCv2	PI507847	PI437833	11976	9.514428e-01	20637	8661
DCv2	PI507847	PI437841	12101	1.003548e+00	20637	8536
DCv2	PI507847	PI438229	12417	1.036581e+00	20637	8220
DCv2	PI507847	PI438249B	10264	1.429750e+00	20637	10373
DCv2	PI507847	PI438250B	9860	1.382519e+00	20637	10777
DCv2	PI507847	PI438251	12328	1.263447e+00	20637	8309
DCv2	PI507847	PI438252A	11717	1.063097e+00	20637	8920
DCv2	PI507847	PI438252C	11615	1.126340e+00	20637	9022
DCv2	PI507847	PI438313	9947	1.375965e+00	20637	10690
DCv2	PI507847	PI445825	11655	1.119510e+00	20637	8982
DCv2	PI507847	PI458139	12098	9.135908e-01	20637	8539
DCv2	PI507847	PI458181	11719	9.046957e-01	20637	8918
DCv2	PI507847	PI506560	11114	9.822881e-01	20637	9523
DCv2	PI507847	PI506574	11070	1.029361e+00	20637	9567
DCv2	PI507847	PI506575A	11217	9.767944e-01	20637	9420
DCv2	PI507847	PI506711B	11131	1.016365e+00	20637	9506
DCv2	PI507847	PI506847	11195	9.752616e-01	20637	9442
