# This file was produced by bcftools (1.21+htslib-1.21), the command line was:
# 	 bcftools gtcheck  -u GT,GT -E 0 -O t -o 05c_vcfs_soy50k/Wm82v4.soy50k.filtered.gtcheck.tsv -g 05c_vcfs_soy50k/panel/soy50k.biallelic.snps.vcf.gz 05c_vcfs_soy50k/Wm82v4.soy50k.filtered.vcf.gz
# and the working directory was:
# 	 /scratch/rec05938/52_bam_vcf
#
INFO	Time required to process one record .. 0.000190 seconds
INFO	Time required to process one record .. 0.054095 seconds
INFO	Time required to process one record .. 0.054545 seconds
INFO	Time required to process one record .. 0.125364 seconds
INFO	Time required to process one record .. 0.162097 seconds
INFO	Time required to process one record .. 0.640640 seconds
INFO	Time required to process one record .. 0.651181 seconds
INFO	sites-compared	7
INFO	sites-skipped-no-match	82534
INFO	sites-skipped-multiallelic	0
INFO	sites-skipped-monoallelic	0
INFO	sites-skipped-no-data	0
INFO	sites-skipped-GT-not-diploid	100
INFO	sites-skipped-PL-not-diploid	0
INFO	sites-skipped-filtering-expression	0
INFO	sites-used-PL-vs-PL	0
INFO	sites-used-PL-vs-GT	0
INFO	sites-used-GT-vs-PL	0
INFO	sites-used-GT-vs-GT	7
# DCv2, discordance version 2:
#     - Query sample
#     - Genotyped sample
#     - Discordance, given either as an abstract score or number of mismatches, see the options -E/-u
#       in man page for details. Note that samples with high missingness have fewer sites compared,
#       which results in lower overall discordance. Therefore it is advisable to use the average score
#       per site rather than the absolute value, i.e. divide the value by the number of sites compared
#       (smaller value = better match)
#     - Average negative log of HWE probability at matching sites, attempts to quantify the following
#       intuition: rare genotype matches are more informative than common genotype matches, hence two
#       samples with similar discordance can be further stratified by the HWE score (bigger value = better
#       match, the observed concordance was less likely to occur by chance)
#     - Number of sites compared for this pair of samples (bigger = more informative)
#     - Number of matching genotypes
#DCv2	[2]Query Sample	[3]Genotyped Sample	[4]Discordance	[5]Average -log P(HWE)	[6]Number of sites compared	[7]Number of matching genotypes
DCv2	Wm82v4	PI594871	5	3.756723e-01	7	2
DCv2	Wm82v4	PI605782B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI605796	5	3.756723e-01	7	2
DCv2	Wm82v4	PI605844E	5	3.756723e-01	7	2
DCv2	Wm82v4	PI605885C	5	3.756723e-01	7	2
DCv2	Wm82v4	PI605886B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI606393	5	3.756723e-01	7	2
DCv2	Wm82v4	PI606430	5	3.756723e-01	7	2
DCv2	Wm82v4	PI612713B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI612726	5	3.756723e-01	7	2
DCv2	Wm82v4	PI612742	6	4.611174e-01	7	1
DCv2	Wm82v4	PI613559F	5	3.756723e-01	7	2
DCv2	Wm82v4	PI615467	5	3.756723e-01	7	2
DCv2	Wm82v4	PI615472	5	3.756723e-01	7	2
DCv2	Wm82v4	PI615481	5	3.756723e-01	7	2
DCv2	Wm82v4	PI632667	5	3.756723e-01	7	2
DCv2	Wm82v4	PI632944D	5	3.756723e-01	7	2
DCv2	Wm82v4	PI639528C	6	2.902271e-01	7	1
DCv2	Wm82v4	PI639546A	7	0.000000e+00	7	0
DCv2	Wm82v4	PI639558	6	2.902271e-01	7	1
DCv2	Wm82v4	PI639560B	7	0.000000e+00	7	0
DCv2	Wm82v4	PI639607	5	3.756723e-01	7	2
DCv2	Wm82v4	FC31676	5	3.756723e-01	7	2
DCv2	Wm82v4	PI69991	5	3.756723e-01	7	2
DCv2	Wm82v4	PI81023	5	3.756723e-01	7	2
DCv2	Wm82v4	PI84632S	5	3.756723e-01	7	2
DCv2	Wm82v4	PI85559	6	4.611174e-01	7	1
DCv2	Wm82v4	PI86002	5	2.916458e+00	7	2
DCv2	Wm82v4	PI86024	5	3.756723e-01	7	2
DCv2	Wm82v4	PI88312	5	3.756723e-01	7	2
DCv2	Wm82v4	PI91091	5	3.756723e-01	7	2
DCv2	Wm82v4	PI93217	6	4.611174e-01	7	1
DCv2	Wm82v4	PI157401	5	3.756723e-01	7	2
DCv2	Wm82v4	PI174852	5	3.756723e-01	7	2
DCv2	Wm82v4	PI184047	4	2.098011e+00	7	3
DCv2	Wm82v4	PI189941	6	2.902271e-01	7	1
DCv2	Wm82v4	PI196168	6	4.611174e-01	7	1
DCv2	Wm82v4	PI200462	5	3.756723e-01	7	2
DCv2	Wm82v4	PI229339	5	3.756723e-01	7	2
DCv2	Wm82v4	PI238108	5	3.756723e-01	7	2
DCv2	Wm82v4	PI241424	5	3.756723e-01	7	2
DCv2	Wm82v4	PI248404	6	2.902271e-01	7	1
DCv2	Wm82v4	PI274207	5	3.756723e-01	7	2
DCv2	Wm82v4	PI274582	5	3.756723e-01	7	2
DCv2	Wm82v4	PI306704B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI307854	5	3.756723e-01	7	2
DCv2	Wm82v4	PI307865	6	2.902271e-01	7	1
DCv2	Wm82v4	PI307876A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI307888B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI307889C	5	3.756723e-01	7	2
DCv2	Wm82v4	PI317337	5	3.756723e-01	7	2
DCv2	Wm82v4	PI323560	6	2.902271e-01	7	1
DCv2	Wm82v4	PI355070S	6	4.611174e-01	7	1
DCv2	Wm82v4	PI361071B	6	2.902271e-01	7	1
DCv2	Wm82v4	PI361116	7	0.000000e+00	7	0
DCv2	Wm82v4	PI378687B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398202	6	4.611174e-01	7	1
DCv2	Wm82v4	PI398307	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398399	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398634	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398723	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398772	5	3.756723e-01	7	2
DCv2	Wm82v4	PI398985	6	4.611174e-01	7	1
DCv2	Wm82v4	PI399122	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407099	6	2.902271e-01	7	1
DCv2	Wm82v4	PI407186	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407191	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407795B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407915	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407916	5	3.756723e-01	7	2
DCv2	Wm82v4	PI407999-1	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408095A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI408304	5	3.756723e-01	7	2
DCv2	Wm82v4	PI415072	6	2.902271e-01	7	1
DCv2	Wm82v4	PI417072	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417115	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417128	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417286	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417472C	5	3.756723e-01	7	2
DCv2	Wm82v4	PI417502	5	3.756723e-01	7	2
DCv2	Wm82v4	PI423842	5	3.756723e-01	7	2
DCv2	Wm82v4	PI423982	5	3.756723e-01	7	2
DCv2	Wm82v4	PI423992	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424028	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424248	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424249E	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424324B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424376	5	3.756723e-01	7	2
DCv2	Wm82v4	PI424443	5	3.756723e-01	7	2
DCv2	Wm82v4	PI434975	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437079A	4	2.098011e+00	7	3
DCv2	Wm82v4	PI437150	4	2.098011e+00	7	3
DCv2	Wm82v4	PI437299	4	2.098011e+00	7	3
DCv2	Wm82v4	PI437341	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437378C	6	2.902271e-01	7	1
DCv2	Wm82v4	PI437441	7	0.000000e+00	7	0
DCv2	Wm82v4	PI437615A	6	2.902271e-01	7	1
DCv2	Wm82v4	PI437673	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437690	4	2.098011e+00	7	3
DCv2	Wm82v4	PI437721A	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437863B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI437892	6	4.611174e-01	7	1
DCv2	Wm82v4	PI438015	6	2.902271e-01	7	1
DCv2	Wm82v4	PI438037	6	2.902271e-01	7	1
DCv2	Wm82v4	PI438058	7	0.000000e+00	7	0
DCv2	Wm82v4	PI438177	6	4.611174e-01	7	1
DCv2	Wm82v4	PI438250A	6	2.902271e-01	7	1
DCv2	Wm82v4	PI438252B	7	0.000000e+00	7	0
DCv2	Wm82v4	PI438355	6	2.902271e-01	7	1
DCv2	Wm82v4	PI438381	6	4.611174e-01	7	1
DCv2	Wm82v4	PI438438	5	3.756723e-01	7	2
DCv2	Wm82v4	PI442003B	5	3.756723e-01	7	2
DCv2	Wm82v4	PI442031	6	2.902271e-01	7	1
DCv2	Wm82v4	PI442041	4	2.098011e+00	7	3
DCv2	Wm82v4	PI442045	6	2.902271e-01	7	1
